,B_Ext,B_Time,B_Humid,TFTime,TFValue,TDiff
430,,,,2021-06-06 03:46:00,8,
431,,,,2021-06-06 04:03:00,10,
432,,,,2021-06-06 04:19:00,13,
433,,,,2021-06-06 04:35:00,11,
434,,,,2021-06-06 04:52:00,13,
435,,,,2021-06-06 05:08:00,14,
436,,,,2021-06-06 05:24:00,12,
437,,,,2021-06-06 05:41:00,13,
438,,,,2021-06-06 05:57:00,16,
439,,,,2021-06-06 06:13:00,7,
440,,,,2021-06-06 06:30:00,13,
441,,,,2021-06-06 06:46:00,13,
442,,,,2021-06-06 07:03:00,10,
443,,,,2021-06-06 07:19:00,14,
444,,,,2021-06-06 07:35:00,12,
445,,,,2021-06-06 07:52:00,10,
446,,,,2021-06-06 08:08:00,9,
447,,,,2021-06-06 08:24:00,6,
448,,,,2021-06-06 08:41:00,15,
449,,,,2021-06-06 08:57:00,8,
450,,,,2021-06-06 09:13:00,14,
451,,,,2021-06-06 09:30:00,15,
452,,,,2021-06-06 09:46:00,10,
453,,,,2021-06-06 10:02:00,12,
454,,,,2021-06-06 10:19:00,17,
455,,,,2021-06-06 10:35:00,30,
456,,,,2021-06-06 10:51:00,36,
457,,,,2021-06-06 11:08:00,28,
458,,,,2021-06-06 11:24:00,1140,
459,,,,2021-06-06 11:40:00,19,
460,,,,2021-06-06 11:57:00,17,
461,,,,2021-06-06 12:13:00,12,
462,,,,2021-06-06 12:29:00,18,
463,,,,2021-06-06 12:46:00,17,
464,,,,2021-06-06 13:02:00,15,
465,,,,2021-06-06 13:18:00,12,
466,,,,2021-06-06 13:34:00,16,
467,,,,2021-06-06 13:51:00,27,
468,,,,2021-06-06 14:07:00,18,
469,,,,2021-06-06 14:24:00,17,
470,,,,2021-06-06 14:40:00,24,
471,,,,2021-06-06 14:56:00,18,
472,,,,2021-06-06 15:12:00,22,
473,,,,2021-06-06 15:29:00,17,
474,,,,2021-06-06 15:45:00,17,
475,,,,2021-06-06 16:01:00,25,
476,,,,2021-06-06 16:18:00,21,
477,,,,2021-06-06 16:34:00,15,
478,,,,2021-06-06 16:50:00,15,
479,,,,2021-06-06 17:07:00,14,
480,,,,2021-06-06 17:23:00,21,
481,,,,2021-06-06 17:39:00,24,
482,,,,2021-06-06 17:56:00,22,
483,,,,2021-06-06 18:16:00,34,
484,,,,2021-06-06 18:32:00,23,
485,,,,2021-06-06 18:49:00,19,
486,,,,2021-06-06 19:05:00,31,
487,,,,2021-06-06 19:21:00,20,
488,,,,2021-06-06 19:38:00,16,
489,,,,2021-06-06 19:54:00,23,
490,,,,2021-06-06 20:10:00,20,
491,,,,2021-06-06 20:27:00,31,
492,,,,2021-06-06 20:43:00,24,
493,,,,2021-06-06 20:59:00,24,
494,,,,2021-06-06 21:16:00,20,
495,,,,2021-06-06 21:32:00,24,
496,,,,2021-06-06 21:48:00,22,
497,,,,2021-06-06 22:05:00,22,
498,,,,2021-06-06 22:21:00,19,
499,,,,2021-06-06 22:37:00,18,
500,,,,2021-06-06 22:54:00,17,
501,,,,2021-06-06 23:10:00,0,
502,,,,2021-06-06 23:27:00,0,
503,,,,2021-06-06 23:43:00,13,
504,,,,2021-06-06 23:59:00,9,
505,,,,2021-06-07 00:16:00,9,
506,,,,2021-06-07 00:32:00,11,
507,,,,2021-06-07 00:48:00,9,
508,,,,2021-06-07 01:05:00,7,
509,,,,2021-06-07 01:21:00,8,
510,,,,2021-06-07 01:37:00,9,
511,,,,2021-06-07 02:15:00,18,
512,,,,2021-06-07 02:31:00,12,
513,,,,2021-06-07 02:47:00,9,
514,,,,2021-06-07 03:04:00,7,
515,,,,2021-06-07 03:20:00,12,
516,,,,2021-06-07 03:36:00,12,
517,,,,2021-06-07 03:53:00,7,
518,,,,2021-06-07 04:09:00,12,
519,,,,2021-06-07 04:46:00,10,
520,,,,2021-06-07 05:03:00,8,
521,,,,2021-06-07 05:19:00,15,
522,,,,2021-06-07 05:35:00,8,
523,,,,2021-06-07 05:51:00,12,
